grouper.ID,species,landing.site,capture.site,TL.mm,SL.mm,weight.g,landing.year,landing.month,landing.date.dd.mm.yy,collector.name,notes
NP001,nassau.grouper,montagu.ramp,na,720,na,na,2016,may,12/05/2016,nicola,
NP048,nassau.grouper,montagu.ramp,na,690,na,na,2016,may,12/05/2016,nicola,
NP047,nassau.grouper,montagu.ramp,na,530,na,na,2016,may,12/05/2016,nicola,
NP036,nassau.grouper,montagu.ramp,na,750,na,na,2016,may,12/05/2016,nicola,
NP046,nassau.grouper,montagu.ramp,na,610,na,na,2016,may,12/05/2016,nicola,
NP044,nassau.grouper,montagu.ramp,na,720,na,na,2016,may,12/05/2016,nicola,
NP045,nassau.grouper,montagu.ramp,na,730,na,na,2016,may,12/05/2016,nicola,
NP035,nassau.grouper,montagu.ramp,na,620,na,na,2016,may,12/05/2016,nicola,
NP040,nassau.grouper,montagu.ramp,na,610,na,na,2016,may,12/05/2016,nicola,
NP058,nassau.grouper,montagu.ramp,berry.islands,620,na,na,2016,may,13/05/2016,nicola,
NP022,nassau.grouper,montagu.ramp,berry.islands,610,na,na,2016,may,13/05/2016,nicola,
NP065,yellowfin.grouper,montagu.ramp,berry.islands,700,na,na,2016,may,13/05/2016,nicola,
NP077,yellowfin.grouper,montagu.ramp,berry.islands,710,na,na,2016,may,13/05/2016,nicola,
NP066,nassau.grouper,montagu.ramp,berry.islands,620,na,na,2016,may,13/05/2016,nicola,
NP054,nassau.grouper,montagu.ramp,berry.islands,610,na,na,2016,may,13/05/2016,nicola,
NP055,yellowfin.grouper,montagu.ramp,berry.islands,630,na,na,2016,may,13/05/2016,nicola,
NP064,black.grouper,montagu.ramp,berry.islands,640,na,na,2016,may,13/05/2016,nicola,
NP059,nassau.grouper,montagu.ramp,berry.islands,620,na,na,2016,may,13/05/2016,nicola,
NP060,yellowfin.grouper,montagu.ramp,berry.islands,650,na,na,2016,may,13/05/2016,nicola,
NP061,nassau.grouper,montagu.ramp,berry.islands,550,na,na,2016,may,13/05/2016,nicola,
NP078,nassau.grouper,montagu.ramp,berry.islands,690,na,na,2016,may,13/05/2016,nicola,
NP063,yellowfin.grouper,montagu.ramp,berry.islands,610,na,na,2016,may,13/05/2016,nicola,
NP071,nassau.grouper,montagu.ramp,berry.islands,520,na,na,2016,may,13/05/2016,nicola,
NP056,yellowfin.grouper,montagu.ramp,berry.islands,610,na,na,2016,may,13/05/2016,nicola,
NP067,black.grouper,montagu.ramp,berry.islands,810,na,na,2016,may,13/05/2016,nicola,
NP068,yellowfin.grouper,montagu.ramp,berry.islands,580,na,na,2016,may,13/05/2016,nicola,
NP073,yellowfin.grouper,montagu.ramp,berry.islands,600,na,na,2016,may,13/05/2016,nicola,
NP057,yellowfin.grouper,montagu.ramp,berry.islands,550,na,na,2016,may,13/05/2016,nicola,
NP069,nassau.grouper,montagu.ramp,berry.islands,500,na,na,2016,may,13/05/2016,nicola,
NP075,yellowfin.grouper,montagu.ramp,berry.islands,520,na,na,2016,may,13/05/2016,nicola,
NP072,nassau.grouper,montagu.ramp,berry.islands,650,na,na,2016,may,13/05/2016,nicola,fish found in mouth
NP074,nassau.grouper,montagu.ramp,berry.islands,590,na,na,2016,may,13/05/2016,nicola,
NP070,nassau.grouper,montagu.ramp,berry.islands,650,na,na,2016,may,13/05/2016,nicola,
NP076,nassau.grouper,montagu.ramp,berry.islands,520,na,na,2016,may,13/05/2016,nicola,
NP079,nassau.grouper,montagu.ramp,berry.islands,490,na,na,2016,may,13/05/2016,nicola,
NP062,nassau.grouper,montagu.ramp,berry.islands,550,na,na,2016,may,13/05/2016,nicola,
NP132,yellowfin.grouper,montagu.ramp,berry.islands,500,na,na,2016,may,13/05/2016,nicola,
NP039,redhind,montagu.ramp,rose.island,370,na,na,2016,may,14/05/2016,nicola,
NP112,nassau.grouper,potters.cay,na,550,na,na,2016,may,15/05/2016,nicola,
NP020,redhind,montagu.ramp,na,360,na,na,2016,may,17/05/2016,nicola,
NP111,redhind,montagu.ramp,na,310,na,na,2016,may,17/05/2016,nicola,
NP037,redhind,montagu.ramp,na,390,na,na,2016,may,17/05/2016,nicola,
NP152,redhind,montagu.ramp,na,350,na,na,2016,may,17/05/2016,nicola,
NP151,redhind,montagu.ramp,na,340,na,na,2016,may,17/05/2016,nicola,
NP114,redhind,montagu.ramp,na,340,na,na,2016,may,19/05/2016,nicola,
NP115,redhind,montagu.ramp,na,320,na,na,2016,may,19/05/2016,nicola,
NP119,redhind,montagu.ramp,na,320,na,na,2016,may,19/05/2016,nicola,
NP118,redhind,montagu.ramp,na,340,na,na,2016,may,19/05/2016,nicola,
NP116,redhind,montagu.ramp,na,370,na,na,2016,may,19/05/2016,nicola,
NP117,redhind,montagu.ramp,na,310,na,na,2016,may,19/05/2016,nicola,
NP121,nassau.grouper,montagu.ramp,eleuthera,420,na,na,2016,may,20/05/2016,nicola,
NP122,nassau.grouper,montagu.ramp,eleuthera,440,na,na,2016,may,20/05/2016,nicola,
NP080,nassau.grouper,montagu.ramp,eleuthera,460,na,na,2016,may,20/05/2016,nicola,
NP155,nassau.grouper,montagu.ramp,eleuthera,480,na,na,2016,may,20/05/2016,nicola,
NP154,nassau.grouper,montagu.ramp,eleuthera,570,na,na,2016,may,20/05/2016,nicola,
NP153,nassau.grouper,montagu.ramp,eleuthera,460,na,na,2016,may,20/05/2016,nicola,
NP156,nassau.grouper,montagu.ramp,eleuthera,570,na,na,2016,may,20/05/2016,nicola,
NP157,nassau.grouper,montagu.ramp,eleuthera,510,na,na,2016,may,20/05/2016,nicola,
NP124,nassau.grouper,montagu.ramp,eleuthera,440,na,na,2016,may,20/05/2016,nicola,
NP123,nassau.grouper,montagu.ramp,eleuthera,420,na,na,2016,may,20/05/2016,nicola,
NP043,redhind,montagu.ramp,eleuthera,320,na,na,2016,may,20/05/2016,nicola,
NP127,redhind,montagu.ramp,eleuthera,270,na,na,2016,may,20/05/2016,nicola,
NP030,redhind,montagu.ramp,eleuthera,300,na,na,2016,may,20/05/2016,nicola,
NP126,redhind,montagu.ramp,eleuthera,310,na,na,2016,may,20/05/2016,nicola,
NP125,nassau.grouper,montagu.ramp,eleuthera,450,na,na,2016,may,20/05/2016,nicola,
NP120,nassau.grouper,montagu.ramp,eleuthera,530,na,na,2016,may,20/05/2016,nicola,
NP171,nassau.grouper,montagu.ramp,eleuthera,440,na,na,2016,may,20/05/2016,nicola,
NP052,nassau.grouper,montagu.ramp,eleuthera,390,na,na,2016,may,20/05/2016,nicola,
NP051,nassau.grouper,montagu.ramp,eleuthera,460,na,na,2016,may,20/05/2016,nicola,
NP081,black.grouper,adelaide,andros,1020,na,19.96.kg,2016,may,21/05/2016,nicola,44lbs 
NP049,yellowfin.grouper,adelaide,andros,650,na,na,2016,may,21/05/2016,nicola,
NP082,black.grouper,adelaide,andros,940,na,14.52.kg,2016,may,21/05/2016,nicola,32 lbs
