grouper.ID,broad.taxa,stomach.item,digestion.score,TL.mm,volume.ml,weight.g,notes
NP132,empty,empty,na,na,na,na,
NP003,mush,mush,5,na,1,na,
NP133,crustacea,crab,4,na,1,na,
NP133,teleosts,fish,4,na,<1,na,
NP134,empty,empty,na,na,na,na,
NP049,teleosts,fish,4,na,8,na,
NP082,teleosts,fish,4,na,120,na,
NP020,crustacea,shrimp,3,na,1.5,na,
NP020,mush,mush,5,na,<1,na,
NP151,mush,mush,5,na,1,na,
NP037,mush,mush,5,na,2,na,
NP152,crustacea,shrimp,3,na,2,na,
NP152,crustacea,shrimp,3,na,1,na,
NP152,teleosts,fish,4,na,6,na,
NP111,mush,mush,5,na,1,na,
NP080,mush,mush,5,na,2,na,
NP114,crustacea,shrimp,3,na,2,na,
NP114,teleosts,fish,4,na,<1,na,
NP119,crustacea,shrimp,3,na,7,na,
NP119,crustacea,shrimp,4,na,1.5,na,
NP117,crustacea,spiny.lobster,2,na,1,na,
NP118,crustacea,spiny.lobster,2,na,6,na,
NP157,teleosts,fish,4,na,1,na,
NP157,mush,mush,5,na,2,na,
NP116,mush,mush,5,na,1,na,
NP115,crustacea,red.ridged.clinging.crab,2,15,1,na,carapace width
NP115,mush,mush,5,na,<1,na,
NP115,crustacea,shrimp,3,na,<1,na,
NP123,mush,mush,5,na,2,na,
NP052,teleosts,fish,4,na,20,na,
NP051,mush,mush,5,na,<1,na,
NP125,crustacea,shrimp,4,na,2,na,
NP125,crustacea,crab,4,na,<1,na,only chelae found
NP126,mush,mush,5,na,<1,na,
NP081,teleosts,fish,4,na,265,na,stomach content measured in two pieces
NP154,crustacea,shrimp,4,na,1,na,
NP153,crustacea,rough.box.crab,2,50,20,na,carapace width
NP043,crustacea,crab,4,na,1,na,
NP030,mush,mush,5,na,1,na,
NP124,teleosts,fish,4,na,3,na,
NP127,teleosts,fish,4,na,1,na,
NP077,teleosts,fish,4,na,2,na,
NP072,teleosts,snapper,3,154,41,na,red snapper?
NP074,teleosts,fish,4,na,20,na,
NP058,empty,empty,na,na,na,na,
NP071,empty,empty,na,na,na,na,
NP073,chlorophyta,mermaids.tea.cup,2,na,1,na,green algae
NP073,teleosts,fish,4,na,2,na,
NP056,teleosts,fish,4,na,1,na,
NP057,teleosts,fish,4,na,<1,na,
NP079,mush,mush,5,na,2,na,
NP070,empty,empty,na,na,na,na,
NP075,mush,mush,5,na,<1,na,
NP068,mush,mush,5,na,1,na,
NP069,mush,mush,5,na,1,na,
NP076,empty,empty,na,na,na,na,
NP039,empty,empty,na,na,na,na,
NP067,empty,empty,na,na,na,na,Stomach turned inside out
NP048,crustacea,red.ridged.clinging.crab,2,34,3,na,carapace width
NP048,mush,mush,5,na,2,na,
NP066,teleosts,fish,4,na,40,na,
NP066,coral,coral,na,na,1,na,
NP062,mush,mush,5,na,91,na,
NP059,empty,empty,na,na,na,na,
NP171,crustacea,crab,3,30,14,na,carapace width
NP171,crustacea,shrimp,4,na,2,na,
NP171,mush,mush,5,na,2,na,
NP156,empty,empty,na,na,na,na,
NP120,teleosts,creole.wrasse,2,173,75,na,juvenile creole wrasse 
NP155,crustacea,mantis.shrimp,1,23,<1,na,tiny green shrimp (family stomatopoda)
NP122,teleosts,fish,4,na,20,na,
NP122,mollusca,conch.foot,3,na,2,na,
NP122,crustacea,shrimp,3,na,1,na,
NP121,crustacea,red.ridged.clinging.crab,2,13,2,na,
NP112,teleosts,fish,4,na,6,na,
NP112,teleosts,fish,4,na,4,na,
NP112,mush,mush,5,na,2,na,
NP040,empty,empty,na,na,na,na,
NP044,empty,empty,na,na,na,na,
NP060,mush,mush,5,na,3,na,
