species,broad.taxa,taxa,percent.volume
redhind,crustacea,crabs,39.5
redhind,teleosts,fishes,21.1
redhind,crustacea,stomatopods,16.6
redhind,crustacea,shrimps,10.5
redhind,mollusca,octopuses,7
redhind,crustacea,unidentified.crustaceans,3.3
redhind,echiuroidea,echiuroids,2
nassau.grouper,teleosts,fishes,54
nassau.grouper,crustacea,crabs,22.5
nassau.grouper,crustacea,stomatopods,5.5
nassau.grouper,mollusca,cephalopods,5.2
nassau.grouper,crustacea,shrimps,5
nassau.grouper,crustacea,spiny.lobsters,3.5
nassau.grouper,mollusca,gastropods,1.6
nassau.grouper,crustacea,hermit.crabs,1.2
nassau.grouper,mollusca,pelecypods,0.7
nassau.grouper,crustacea,unidentified.crustaceans,0.6
nassau.grouper,crustacea,isopods,0.2
black.grouper,teleosts,fishes,100
tiger.grouper,teleosts,fishes,100
yellowfin.grouper,teleosts,fishes,95.3
yellowfin.grouper,mollusca,squids,3.9
yellowfin.grouper,crustacea,shrimps,0.8
graysby,teleosts,fishes,66.2
graysby,crustacea,shrimps,17.3
graysby,crustacea,stomatopods,8.9
graysby,crustacea,crabs,3.8
graysby,mollusca,gastropods,3.8
