"broad.taxa","avg.prop.abun","species"
"mollusca",0.0625,"black.grouper"
"teleosts",0.9375,"black.grouper"
"crustacea",0.0833333333333333,"yellowfin.grouper"
"mollusca",0.0833333333333333,"yellowfin.grouper"
"teleosts",0.833333333333333,"yellowfin.grouper"
"crustacea",0.510606060606061,"nassau.grouper"
"echinodermata",0.00909090909090909,"nassau.grouper"
"mollusca",0.00606060606060606,"nassau.grouper"
"teleosts",0.474242424242424,"nassau.grouper"
"crustacea",0.771929824561403,"redhind"
"mollusca",0.0526315789473684,"redhind"
"teleosts",0.175438596491228,"redhind"
"echinodermata",0,"yellowfin.grouper"
"crustacea",0,"black.grouper"
"echinodermata",0,"black.grouper"
"echinodermata",0,"redhind"
