"broad.taxa","avg.prop.vol","species"
"mollusca",0.0131578947368421,"black.grouper"
"teleosts",0.986842105263158,"black.grouper"
"mollusca",0.111111111111111,"yellowfin.grouper"
"teleosts",0.888888888888889,"yellowfin.grouper"
"crustacea",0.479420289855073,"nassau.grouper"
"echinodermata",0.019047619047619,"nassau.grouper"
"mollusca",0.00217391304347826,"nassau.grouper"
"teleosts",0.49935817805383,"nassau.grouper"
"crustacea",0.790196078431373,"redhind"
"mollusca",0.0588235294117647,"redhind"
"teleosts",0.150980392156863,"redhind"
"echinodermata",0,"yellowfin.grouper"
"crustacea",0,"yellowfin.grouper"
"crustacea",0,"black.grouper"
"echinodermata",0,"black.grouper"
"echinodermata",0,"redhind"
